ID,English_Verb,Greek_Verb,Translation,Verb_Group,Present_Ego,Present_Esy,Present_HeSheIt,Present_We,Present_YouPl,Present_They,Aorist_Ego,Aorist_Esy,Aorist_HeSheIt,Aorist_We,Aorist_YouPl,Aorist_They,Future_Ego,Future_Esy,Future_HeSheIt,Future_We,Future_YouPl,Future_They,Present_Imperative_Esy,Present_Imperative_YouPl,Aorist_Imperative_Esy,Aorist_Imperative_YouPl
33,Consider,Σκέφτομαι,To consider,PASD,Σκέφτομαι,Σκέφτεσαι,Σκέφτεται,Σκεφτόμαστε,Σκέφτεστε,Σκέφτονται,Σκέφτηκα,Σκέφτηκες,Σκέφτηκε,Σκεφτήκαμε,Σκεφτήκατε,Σκέφτηκαν,Θα σκεφτώ,Θα σκεφτείς,Θα σκεφτεί,Θα σκεφτούμε,Θα σκεφτείτε,Θα σκεφτούν, Σκέψου , Σκεφτείτε , Σκέφτου , Σκέφτεστε 
34,Clean,Καθαρίζω,To clean,B,Καθαρίζω,Καθαρίζεις,Καθαρίζει,Καθαρίζουμε,Καθαρίζετε,Καθαρίζουν,Καθάρισα,Καθάρισες,Καθάρισε,Καθαρίσαμε,Καθαρίσατε,Καθάρισαν,Θα καθαρίσω,Θα καθαρίσεις,Θα καθαρίσει,Θα καθαρίσουμε,Θα καθαρίσετε,Θα καθαρίσουν, Καθάρισε , Καθαρίστε , Καθάριζε , Καθαρίζετε 
35,Decide,Αποφασίζω,To decide,A,Αποφασίζω,Αποφασίζεις,Αποφασίζει,Αποφασίζουμε,Αποφασίζετε,Αποφασίζουν,Αποφάσισα,Αποφάσισες,Αποφάσισε,Αποφασίσαμε,Αποφασίσατε,Αποφάσισαν,Θα αποφασίσω,Θα αποφασίσεις,Θα αποφασίσει,Θα αποφασίσουμε,Θα αποφασίσετε,Θα αποφασίσουν, Αποφάσισε , Αποφασίστε , Αποφάσιζε , Αποφασίζετε 
36,Find,Βρίσκω,To find,A,Βρίσκω,Βρίσκεις,Βρίσκει,Βρίσκουμε,Βρίσκετε,Βρίσκουν,Βρήκα,Βρήκες,Βρήκε,Βρήκαμε,Βρήκατε,Βρήκαν,Θα βρω,Θα βρεις,Θα βρει,Θα βρούμε,Θα βρείτε,Θα βρουν, Βρες , Βρείτε ,Ψάχνε,Ψάχνετε
37,Wear,Φοράω ,To wear,B,Φοράω ,Φοράς ,Φοράει ,Φοράμε ,Φοράτε ,Φοράνε ,Φόρεσα ,Φόρεσες ,Φόρεσε ,Φορέσαμε ,Φορέσατε ,Φόρεσαν ,Θα φορέσω ,Θα φορέσεις ,Θα φορέσει ,Θα φορέσουμε ,Θα φορέσετε ,Θα φορέσουν ,Φόρεσε,Φορέστε,Φόρα,Φοράτε
38,Leave,Φεύγω ,To leave,A,Φεύγω ,Φεύγεις ,Φεύγει ,Φεύγουμε ,Φεύγετε ,Φεύγουν ,Έφυγα ,Έφυγες ,Έφυγε ,Φύγαμε ,Φύγατε ,Έφυγαν ,Θα φύγω ,Θα φύγεις ,Θα φύγει ,Θα φύγουμε ,Θα φύγετε ,Θα φύγουν ,Φύγε,Φύγετε ,Φεύγε,Φεύγετε
39,Telephone,Τηλεφωνώ ,To telephone,B,Τηλεφωνώ ,Τηλεφωνείς ,Τηλεφωνεί ,Τηλεφωνούμε ,Τηλεφωνείτε ,Τηλεφωνούν ,Τηλεφώνησα ,Τηλεφώνησες ,Τηλεφώνησε ,Τηλεφωνήσαμε ,Τηλεφωνήσατε ,Τηλεφώνησαν ,Θα τηλεφωνήσω ,Θα τηλεφωνήσεις ,Θα τηλεφωνήσει ,Θα τηλεφωνήσουμε ,Θα τηλεφωνήσετε ,Θα τηλεφωνήσουν ,Τηλεφώνησε,Τηλεφωνήστε,Τηλεφώνει,Τηλεφωνείτε 
40,Call,Καλώ ,To call,B,Καλώ ,Καλείς ,Καλεί ,Καλούμε ,Καλείτε ,Καλούν ,Κάλεσα ,Κάλεσες ,Κάλεσε ,Καλέσαμε ,Καλέσατε ,Κάλεσαν ,Θα καλέσω ,Θα καλέσεις ,Θα καλέσει ,Θα καλέσουμε ,Θα καλέσετε ,Θα καλέσουν , Κάλεσε,Καλέστε,Κάλει,Καλείτε
41,Book,Κλείνω ,To book,A,Κλείνω ,Κλείνεις ,Κλείνει ,Κλείνουμε ,Κλείνετε ,Κλείνουν ,Έκλεισα ,Έκλεισες ,Έκλεισε ,Κλείσαμε ,Κλείσατε ,Έκλεισαν ,Θα κλείσω ,Θα κλείσεις ,Θα κλείσει ,Θα κλείσουμε ,Θα κλείσετε ,Θα κλείσουν ,Κλείσε,Κλείστε,Κλείνε,Κλείνετε
42,Choose,διαλέγω,To choose,A,διαλέγω,διαλέγεις,διαλέγει,διαλέγουμε,διαλέγετε,διαλέγουν,διάλεξα,διάλεξες,διάλεξε,διαλέξαμε,διαλέξατε,διάλεξαν,θα διαλέξω,θα διαλέξεις,θα διαλέξει,θα διαλέξουμε,θα διαλέξετε,θα διαλέξουν,Διάλεξε ,Ας διαλέξουμε ,,Διαλέξτε
43,Give,δίνω,To give,A,δίνω,δίνεις,δίνει,δίνουμε,δίνετε,δίνουν,έδωσα,έδωσες,έδωσε,δώσαμε,δώσατε,έδωσαν,θα δώσω,θα δώσεις,θα δώσει,θα δώσουμε,θα δώσετε,θα δώσουν,Δώσε ,Ας δώσουμε ,,Δώστε 
44,Exchange,ανταλλάσσω,to exchange,A,ανταλλάσσω,ανταλλάσσεις,ανταλλάσσει,ανταλλάσσουμε,ανταλλάσσετε,ανταλλάσσουν,αντάλλαξα,αντάλλαξες,αντάλλαξε,ανταλλάξαμε,ανταλλάξατε,αντάλλαξαν,θα ανταλλάξω,θα ανταλλάξεις,θα ανταλλάξει,θα ανταλλάξουμε,θα ανταλλάξετε,θα ανταλλάξουν,Αντάλλαξε ,Ας ανταλλάξουμε,,Ανταλλάξτε 
45,Visit,επισκέπτομαι,To visit,PASD,επισκέπτομαι,επισκέπτεσαι,επισκέπτεται,επισκεπτόμαστε,επισκέπτεστε,επισκέπτονται,επισκέφτηκα,επισκέφτηκες,επισκέφτηκε,επισκεφτήκαμε,επισκεφτήκατε,επισκέφτηκαν,θα επισκεφτώ,θα επισκεφτείς,θα επισκεφτεί,θα επισκεφτούμε,θα επισκεφτείτε,θα επισκεφτούν,Επισκέψου ,Ας επισκεφτούμε,,Επισκεφτείτε 
46,Redeem,εξαργυρώνω,To redeem,A,εξαργυρώνω,εξαργυρώνεις,εξαργυρώνει,εξαργυρώνουμε,εξαργυρώνετε,εξαργυρώνουν,εξαργύρωσα,εξαργύρωσες,εξαργύρωσε,εξαργυρώσαμε,εξαργυρώσατε,εξαργύρωσαν,θα εξαργυρώσω,θα εξαργυρώσεις,θα εξαργυρώσει,θα εξαργυρώσουμε,θα εξαργυρώσετε,θα εξαργυρώσουν,Εξαργύρωσε ,Ας εξαργυρώσουμε,,Εξαργυρώστε 
47,Answer,απαντώ / απαντάω,To answer,B,απαντώ / απαντάω,απαντάς,απαντά,απαντούμε / απαντάμε,απαντάτε,απαντούν,απάντησα,απάντησες,απάντησε,απαντήσαμε,απαντήσατε,απάντησαν,θα απαντήσω,θα απαντήσεις,θα απαντήσει,θα απαντήσουμε,θα απαντήσετε,θα απαντήσουν,Απάντησε ,Ας απαντήσουμε,,Απαντήστε 
48,Enter,Μοιράζω ,To enter,A,Μοιράζω ,Μοιράζεις ,Μοιράζει ,Μοιράζουμε ,Μοιράζετε ,Μοιράζουν ,Μοίρασα ,Μοίρασες ,Μοίρασε ,Μοιράσαμε ,Μοιράσατε ,Μοίρασαν ,Θα μοιράσω ,Θα μοιράσεις ,Θα μοιράσει ,Θα μοιράσουμε ,Θα μοιράσετε ,Θα μοιράσουν ,Μοίρασε ,Μοίραζε ,Μοιράστε ,Μοιράζετε 
49,Return,Γυρίζω ,To return to a place,A,Γυρίζω ,Γυρίζεις ,Γυρίζει ,Γυρίζουμε ,Γυρίζετε ,Γυρίζουν ,Γύρισα ,Γύρισες ,Γύρισε ,Γυρίσαμε ,Γυρίσατε ,Γύρισαν ,Θα γυρίσω ,Θα γυρίσεις ,Θα γυρίσει ,Θα γυρίσουμε ,Θα γυρίσετε ,Θα γυρίσουν ,Γύρισε ,Γύριζε ,Γυρίστε ,Γυρίζετε 
50,Distribute,Μοιράζω ,To distribute,A,Μοιράζω ,Μοιράζεις ,Μοιράζει ,Μοιράζουμε ,Μοιράζετε ,Μοιράζουν ,Μοίρασα ,Μοίρασες ,Μοίρασε ,Μοιράσαμε ,Μοιράσατε ,Μοίρασαν ,Θα μοιράσω ,Θα μοιράσεις ,Θα μοιράσει ,Θα μοιράσουμε ,Θα μοιράσετε ,Θα μοιράσουν ,Μοίρασε ,Μοίραζε ,Μοιράστε ,Μοιράζετε 
51,Develop,Αναπτύσσω ,To develop,A,Αναπτύσσω ,Αναπτύσσεις ,Αναπτύσσει ,Αναπτύσσουμε ,Αναπτύσσετε ,Αναπτύσσουν ,Ανέπτυξα ,Ανέπτυξες ,Ανέπτυξε ,Αναπτύξαμε ,Αναπτύξατε ,Ανέπτυξαν ,Θα αναπτύξω ,Θα αναπτύξεις ,Θα αναπτύξει ,Θα αναπτύξουμε ,Θα αναπτύξετε ,Θα αναπτύξουν ,Ανάπτυξε ,Ανάπτυσσε ,Αναπτύξτε ,Αναπτύσσετε 
52,Hungry,Πεινάω ,To be hungre,B1,Πεινάω ,Πεινάς ,Πεινάει ,Πεινάμε ,Πεινάτε ,Πεινάνε ,Πείνασα ,Πείνασες ,Πείνασε ,Πεινάσαμε ,Πεινάσατε ,Πείνασαν ,Θα πεινάσω ,Θα πεινάσεις ,Θα πεινάσει ,Θα πεινάσουμε ,Θα πεινάσετε ,Θα πεινάσουν ,Πείνασε ,Πείνα ,Πεινάστε ,Πεινάτε 
53,Thirsty,Διψάω ,To be thirsty,B1,Διψάω ,Διψάς ,Διψάει ,Διψάμε ,Διψάτε ,Διψάνε ,Δίψασα ,Δίψασες ,Δίψασε ,Διψάσαμε ,Διψάσατε ,Δίψασαν ,Θα διψάσω ,Θα διψάσεις ,Θα διψάσει ,Θα διψάσουμε ,Θα διψάσετε ,Θα διψάσουν ,Δίψασε ,Δίψα ,Διψάστε ,Διψάτε 
54,Dream,Ονειρεύομαι ,To dream,PASD,Ονειρεύομαι ,Ονειρεύεσαι ,Ονειρεύεται ,Ονειρευόμαστε ,Ονειρεύεστε ,Ονειρεύονται ,Ονειρεύτηκα ,Ονειρεύτηκες ,Ονειρεύτηκε ,Ονειρευτήκαμε ,Ονειρευτήκατε ,Ονειρεύτηκαν ,Θα ονειρευτώ ,Θα ονειρευτείς ,Θα ονειρευτεί ,Θα ονειρευτούμε ,Θα ονειρευτείτε ,Θα ονειρευτούν ,Ονειρέψου ,Ονειρεύου ,Ονειρευτείτε ,Ονειρεύεστε 
55,Travel,Ταξιδεύω ,To travel,A,Ταξιδεύω ,Ταξιδεύεις ,Ταξιδεύει ,Ταξιδεύουμε ,Ταξιδεύετε ,Ταξιδεύουν ,Ταξίδεψα ,Ταξίδεψες ,Ταξίδεψε ,Ταξιδέψαμε ,Ταξιδέψατε ,Ταξίδεψαν ,Θα ταξιδέψω ,Θα ταξιδέψεις ,Θα ταξιδέψει ,Θα ταξιδέψουμε ,Θα ταξιδέψετε ,Θα ταξιδέψουν ,Ταξίδεψε ,Ταξίδευε ,Ταξιδέψτε ,Ταξιδεύετε 
56,Return,Επιστρέφω ,To return a thing,A,Επιστρέφω ,Επιστρέφεις ,Επιστρέφει ,Επιστρέφουμε ,Επιστρέφετε ,Επιστρέφουν ,Επέστρεψα ,Επέστρεψες ,Επέστρεψε ,Επιστρέψαμε ,Επιστρέψατε ,Επέστρεψαν ,Θα επιστρέψω ,Θα επιστρέψεις ,Θα επιστρέψει ,Θα επιστρέψουμε ,Θα επιστρέψετε ,Θα επιστρέψουν ,Επίστρεψε ,Επιστρεφε ,Επιστρέψτε ,Επιστρέφετε 
57,Grow up,Μεγαλώνω ,To grow up,A,Μεγαλώνω ,Μεγαλώνεις ,Μεγαλώνει ,Μεγαλώνουμε ,Μεγαλώνετε ,Μεγαλώνουν ,Μεγάλωσα ,Μεγάλωσες ,Μεγάλωσε ,Μεγαλώσαμε ,Μεγαλώσατε ,Μεγάλωσαν ,Θα μεγαλώσω ,Θα μεγαλώσεις ,Θα μεγαλώσει ,Θα μεγαλώσουμε ,Θα μεγαλώσετε ,Θα μεγαλώσουν ,Μεγάλωσε ,Μεγάλωνε ,Μεγαλώστε ,Μεγαλώνετε 
58,Wish,Εύχομαι ,To wish,PASD,Εύχομαι ,Εύχεσαι ,Εύχεται ,Ευχόμαστε ,Εύχεστε ,Εύχονται ,Ευχήθηκα ,Ευχήθηκες ,Ευχήθηκε ,Ευχηθήκαμε ,Ευχηθήκατε ,Ευχήθηκαν ,Θα ευχηθώ ,Θα ευχηθείς ,Θα ευχηθεί ,Θα ευχηθούμε ,Θα ευχηθείτε ,Θα ευχηθούν ,Ευχήσου ,Εύχου ,Ευχηθείτε ,Εύχεστε 
59,Feed,Ταΐζω ,To feed,A,Ταΐζω ,Ταΐζεις ,Ταΐζει ,Ταΐζουμε ,Ταΐζετε ,Ταΐζουν ,Τάϊσα ,Τάϊσες ,Τάϊσε ,Ταΐσαμε ,Ταΐσατε ,Τάϊσαν ,Θα ταΐσω ,Θα ταΐσεις ,Θα ταΐσει ,Θα ταΐσουμε ,Θα ταΐσετε ,Θα ταΐσουν ,Τάϊσε ,Τάϊζε ,Ταΐστε ,Ταΐζετε 
60,Sleep,Κοιμάμαι ,To sleep,PASD,Κοιμάμαι ,Κοιμάσαι ,Κοιμάται ,Κοιμόμαστε ,Κοιμάστε ,Κοιμούνται ,Κοιμήθηκα ,Κοιμήθηκες ,Κοιμήθηκε ,Κοιμηθήκαμε ,Κοιμηθήκατε ,Κοιμήθηκαν ,Θα κοιμηθώ ,Θα κοιμηθείς ,Θα κοιμηθεί ,Θα κοιμηθούμε ,Θα κοιμηθείτε ,Θα κοιμηθούν ,Κοιμήσου ,Κοιμάσου ,Κοιμηθείτε ,Κοιμάστε 
61,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,
